ablatives	ablative:ablative_A s:+PL
destructiveness	destruct:destruct ive:ive ness:ness
starvation	starv:starv ation:ation
pathfinder	path:path find:find er:er
stepmother	step:step mother:mother
frontlet	front:front let:let
pegs	peg:peg s:s
triggered	trigger:trigger ed:ed
abused	abuse:abuse d:d
normated	normated:normated
realign	re:re align:align
pyrotechnical	pyro:pyro technic:technic al:al
kisses	kiss:kiss es:es
gruntled	grunt:grunt led:led
centered	center:center ed:ed
megacolon	mega:mega colon:colon
guy	guy:guy
abuse	abuse:abuse
grainways	grain:grain way:way s:s
extrasterile	extra:extra sterile:sterile
terrane	terrane:terrane
reinfusion	re:re infus:infus ion:ion
abuses	abuse:abuse s:s
stepmotherliness	step:step mother:mother liness:liness
swallowpipe	swallow:swallow pipe:pipe
telemeter	tele:tele meter:meter
suboval	sub:sub oval:oval
pyre	pyre:pyre
cedilla	cedilla:cedilla
semideaf	semi:semi deaf:deaf
peg	peg:peg
extropical	extropical:extropical
owlet	ow:ow let:let
confidential	confident:confident ial:ial
pronounce	pro:pro nounce:nounce
consultant	consult:consult ant:ant
fluids	fluid:fluid s:s
nanometer	nano:nano meter:meter
uncirculating	un:un circulat:circulat ing:ing
overpopulating	over:over populat:populat ing:ing
macroclimate	macro:macro climate:climate
sated	sat:sat ed:ed
reassigning	re:re assign:assign ing:ing
panical	panic:panic al:al
propagators	propagat:propagat or:or s:s
machinist	machin:machin ist:ist
stopping	stopp:stopp ing:ing
paranoia	para:para noia:noia
nordic	nord:nord ic:ic
portlight	port:port light:light
annotate	an:an not:not ate:ate
underconsumption	under:under consum:consum ption:ption
introvolution	intro:intro volution:volution
uncover	un:un cover:cover
uniserial	uni:uni serial:serial
dysfunction	dys:dys function:function
slowness	slow:slow ness:ness
nullify	null:null ify:ify
residuary	residu:residu ary:ary
menopause	meno:meno pause:pause
multisensory	multi:multi sensor:sensor y:y
developments	develop:develop ment:ment s:s
readjusted	re:re adjust:adjust ed:ed
unrelated	un:un relat:relat ed:ed
foretasting	fore:fore tast:tast ing:ing
designing	design:design ing:ing
affected	affect:affect ed:ed
natural	natur:natur al:al
activities	activ:activ it:it ies:ies
relaxed	relax:relax ed:ed
backward	back:back ward:ward
rotator	rotat:rotat or:or
muscles	muscle:muscle s:s
removed	re:re mov:mov ed:ed
senator	senat:senat or:or
buses	bus:bus es:es
resisting	resist:resist ing:ing
downward	down:down ward:ward
parliament	parlia:parlia ment:ment
preoccipital	pre:pre occipit:occipit al:al
multitude	multi:multi tude:tude
commonly	common:common ly:ly
unbeatable	un:un beat:beat able:able
carrying	carry:carry ing:ing
mechanically	mechan:mechan ic:ic al:al ly:ly
insignificant	in:in signific:signific ant:ant
connecting	connect:connect ing:ing
audience	audi:audi ence:ence
federations	feder:feder ation:ation s:s
leadership	lead:lead er:er ship:ship
overcrowding	over:over crowd:crowd ing:ing
conservatively	conservat:conservat ive:ive ly:ly
heavens	heaven:heaven s:s
etymology	etymo:etymo logy:logy
woman	woman:woman
address	address:address
foreman	fore:fore man:man
parsing	pars:pars ing:ing
pigeonhole	pigeon:pigeon hole:hole
lemma	lemma:lemma
Quinean	Quine:Quine an:an
posted	post:post ed:ed
summed	sum:sum med:med
dilemma	dilemma:dilemma
pipeline	pipe:pipe line:line
give	give:give
power	power:power
footwear	foot:foot wear:wear
man	man:man
tokenization	token:token ization:ization
folder	fold:fold er:er
always	always:always
quits	quit:quit s:s
forearm	fore:fore arm:arm
summer	summer:summer
lexicographer	lexico:lexico graph:graph er:er
ongoing	on:on go:go ing:ing
dress	dress:dress
forgive	forgive:forgive
foreign	foreign:foreign
arm	arm:arm
kidding	kidd:kidd ing:ing
run	run:run
recurrent	re:re current:current
title	title:title
play	play:play
kids	kid:kid s:s
regressor	re:re gress:gress or:or
sick	sick:sick
ill	ill:ill
surname	sur:sur name:name
long	long:long
current	current:current
short	short:short
wife	wife:wife
recallment	re:re call:call ment:ment
war	war:war
lasting	last:last ing:ing
kid	kid:kid
cold	cold:cold
colding	cold:cold ing:ing
called	call:call ed:ed
mean	mean:mean
calling	call:call ing:ing
rerun	re:re run:run
seaside	sea:sea side:side
evaluating	e:e valu:valu at:at ing:ing
catechized	catech:catech iz:iz ed:ed
eyedrop	eye:eye drop:drop
policewoman	police:police woman:woman
nakedness	naked:naked ness:ness
gaslights	gas:gas light:light s:s
illumination	illuminat:illuminat ion:ion
chessman	chess:chess man:man
initiate	initi:initi ate:ate
freshers	fresh:fresh er:er s:s
ziggurats'	ziggurat:ziggurat s:s ':'
barracuda	barracuda:barracuda
swordfish	sword:sword fish:fish
masseuse	mass:mass euse:euse
liquors	liquor:liquor s:s
revolvers'	revolv:revolv er:er s:s ':'
charismatic	charismat:charismat ic:ic
discounts	dis:dis count:count s:s
dildos	dildo:dildo s:s
ratings	rating:rating s:s
pruners	prun:prun er:er s:s
greatest	great:great est:est
gazing	gaz:gaz ing:ing
woodwork	wood:wood work:work
excretion	excret:excret ion:ion
physiologists'	physi:physi olog:olog ist:ist s:s ':'
enslaves	en:en slave:slave s:s
seahorse	sea:sea horse:horse
inexorably	inexorab:inexorab ly:ly
inconspicuous	in:in conspicu:conspicu ous:ous
irrational	ir:ir ratio:ratio nal:nal
misconduct	mis:mis con:con duct:duct
impartiality	im:im partial:partial ity:ity
diminishing	di:di minish:minish ing:ing
fraudulent	fraud:fraud ulent:ulent
subterfuge	subter:subter fuge:fuge
indistinguishable	in:in dis:dis tinguish:tinguish able:able
disadvantageous	dis:dis advantage:advantage ous:ous
obscurity	obscur:obscur ity:ity
demoralization	de:de moraliz:moraliz ation:ation
retrogression	retro:retro gression:gression
reappearing	re:re appear:appear ing:ing
imposture	impos:impos ture:ture
injuriously	injurious:injurious ly:ly
manifestation	mani:mani fest:fest ation:ation
extermination	ex:ex termin:termin ation:ation
drawback	draw:draw back:back
undulation	und:und ulation:ulation
contemplate	con:con template:template
inaudible	in:in aud:aud ible:ible
disproportionate	dis:dis proportion:proportion ate:ate
honorable	honor:honor able:able
plausible	plaus:plaus ible:ible
utterances	utter:utter ance:ance s:s
familiarized	familiar:familiar iz:iz ed:ed
unprecedented	un:un precedent:precedent ed:ed
forgetfulness	forget:forget ful:ful ness:ness
approximation	approxim:approxim ation:ation
occasionally	occasion:occasion ally:ally
unquestionable	un:un question:question able:able
pig	pig:pig
tomatoes	tomato:tomato es:es
astonishing	astonish:astonish ing:ing
hum	hum:hum
potatoes	potato:potato es:es
song	song:song
potato	potato:potato
boat	boat:boat
educated	educat:educat ed:ed
creator	creat:creat or:or
rush	rush:rush
nerve	nerve:nerve
ink	ink:ink
pull	pull:pull
mellow	mellow:mellow
sidewalk	side:side walk:walk
divergent	diverg:diverg ent:ent
exclusive	exclus:exclus ive:ive
memorise	memor:memor ise:ise
suit	suit:suit
troubled	troubl:troubl ed:ed
numerous	numer:numer ous:ous
noise	noise:noise
rinse	rinse:rinse
pale	pale:pale
sleet	sleet:sleet
curve	curve:curve
knife	knife:knife
noiseless	noise:noise less:less
ceaseless	cease:cease less:less
sleeping	sleep:sleep ing:ing
happiness	happi:happi ness:ness
Hotdogs	hot:hot dog:dog s:s
barking	bark:bark ing:ing
dreaming	dream:dream ing:ing
books	book:book s:s
disclose	dis:dis close:close
locked	lock:lock ed:ed
prejudges	pre:pre judge:judge s:s
graceful	grace:grace ful:ful
flowchart	flow:flow chart:chart
language	lan:lan guage:guage
dictatorial	dictator:dictator ial:ial
horses	horse:horse s:s
walked	walk:walk ed:ed
beers	beer:beer s:s
rationalist	rational:rational ist:ist
drumheads	drum:drum head:head s:s
blueprint	blue:blue print:print
pens	pen:pen s:s
drivers	driv:driv er:er s:s
Disgraceful	Dis:Dis grace:grace ful:ful
expressway	express:express way:way
fearlessly	fear:fear less:less ly:ly
helplessness	help:help less:less ness:ness
formerly	former:former ly:ly
exchanging	ex:ex chang:chang ing:ing
majority	major:major ity:ity
historical	histor:histor ical:ical
loyalty	loyal:loyal ty:ty
possession	possess:possess ion:ion
meanwhile	mean:mean while:while
typewriter	type:type writ:writ er:er
dismissing	dis:dis miss:miss ing:ing
dangerous	danger:danger ous:ous
grateful	grate:grate ful:ful
occupation	occup:occup ation:ation
collection	collect:collect ion:ion
accountant	ac:ac count:count ant:ant
performer	perform:perform er:er
handwriting	hand:hand writ:writ ing:ing
interested	interest:interest ed:ed
knowledge	know:know ledge:ledge
sunglasses	sun:sun glass:glass es:es
himself	him:him self:self
everywhere	every:every where:where
bibliography	biblio:biblio graphy:graphy
accurate	ac:ac cur:cur ate:ate
imagination	imag:imag ination:ination
neighborhood	neighbor:neighbor hood:hood
independence	in:in dependen:dependen ce:ce
playthings	play:play thing:thing s:s
weatherman	weather:weather man:man
celebration	celebrat:celebrat ion:ion
biographical	bio:bio graph:graph ic:ic al:al
uptight	up:up tight:tight
tighten	tight:tight en:en
stapler	stapl:stapl er:er
congregated	con:con gregate:gregate d:d
underground	under:under ground:ground
unknow	un:un know:know
undesiderable	un:un desider:desider able:able
meaningful	meaning:meaning ful:ful
enforcement	en:en force:force ment:ment
encoded	en:en code:code d:d
tightness	tight:tight ness:ness
preprocessing	pre:pre process:process ing:ing
impraticable	im:im pratic:pratic able:able
staying	stay:stay ing:ing
waiting	wait:wait ing:ing
refactoring	re:re factor:factor ing:ing
assessment	assess:assess ment:ment
undeniable	un:un deni:deni able:able
deliverance	deliver:deliver ance:ance
unconstitutional	un:un constitution:constitution al:al
assertion	asser:asser tion:tion
colorful	color:color ful:ful
quickly	quick:quick ly:ly
bloodline	blood:blood line:line
unfashionable	un:un fashion:fashion able:able
unreasonable	un:un reason:reason able:able
unpopular	un:un popular:popular
running	runn:runn ing:ing
boosted	boost:boost ed:ed
redeployment	re:re deploy:deploy ment:ment
overvalued	over:over valu:valu ed:ed
antihero	anti:anti hero:hero
landowner	land:land own:own er:er
optimum	optim:optim um:um
drained	drain:drain ed:ed
golden	gold:gold en:en
specification	specif:specif ic:ic ation:ation
zooming	zoom:zoom ing:ing
youngster	young:young ster:ster
foolproof	fool:fool proof:proof
orange	orange:orange
scandalize	scandal:scandal ize:ize
bookbinder	book:book bind:bind er:er
topographical	topo:topo graph:graph ic:ic al:al
headphones	head:head phone:phone s:s
queenside	queen:queen side:side
goodness	good:good ness:ness
unattainable	un:un attain:attain able:able
beach	beach:beach
stuffing	stuff:stuff ing:ing
unannounced	un:un announc:announc ed:ed
core	core:core
unborn	un:un born:born
wordplay	word:word play:play
irrefutable	ir:ir refut:refut able:able
charge	charge:charge
scalding	scald:scald ing:ing
anybody	any:any body:body
white	white:white
bakers	bak:bak er:er s:s
undertaking	under:under tak:tak ing:ing
presentiments	pre:pre sentiment:sentiment s:s
overcooked	over:over cook:cook ed:ed
underrepresented	under:under represent:represent ed:ed
miscalculates	mis:mis calculate:calculate s:s
xenotransplantations	xeno:xeno trans:trans plantation:plantation s:s
wearing	wear:wear ing:ing
abdicated	abdicate:abdicate d:d
unstrapped	un:un strapp:strapp ed:ed
wednesdays	wednesday:wednesday s:s
wounded	wound:wound ed:ed
whitewashing	white:white wash:wash ing:ing
zeroing	zero:zero ing:ing
zapping	zap:zap ping:ping
yearlings	year:year ling:ling s:s
overcrowded	over:over crowd:crowd ed:ed
zigzagged	zig:zig zag:zag ged:ged
underwriter	under:under write:write r:r
abjures	abjure:abjure s:s
overdevelop	over:over develop:develop
zoology	zoo:zoo logy:logy
wined	win:win ed:ed
welcoming	welcom:welcom ing:ing
understatement	under:under state:state ment:ment
unpredictabilities	un:un predict:predict abilit:abilit ies:ies
withholded	with:with hold:hold ed:ed
abjected	abject:abject ed:ed
yanking	yank:yank ing:ing
outstretch	out:out stretch:stretch
undervalued	under:under value:value d:d
interchangeabilities	inter:inter change:change abilit:abilit ies:ies
roadway	road:road way:way
academic	academ:academ ic:ic
smaller	small:small er:er
rainy	rain:rain y:y
unconventional	un:un convention:convention al:al
waterfall	water:water fall:fall
scientific	scient:scient ific:ific
prehistoric	pre:pre histor:histor ic:ic
pony	pony:pony
friendly	friend:friend ly:ly
bidirection	bi:bi direct:direct ion:ion
musician	music:music ian:ian
pets	pet:pet s:s
election	elect:elect ion:ion
speaking	speak:speak ing:ing
peacefull	peace:peace full:full
guitarist	guitar:guitar ist:ist
sexy	sex:sex y:y
trainer	train:train er:er
doors	door:door s:s
win	win:win
readable	read:read able:able
boyfriends	boy:boy friend:friend s:s
sons	son:son s:s
sunrise	sun:sun rise:rise
lake	lake:lake
commander	command:command er:er
showman	show:show man:man
housewife	house:house wife:wife
wind	wind:wind
promotional	promot:promot ion:ion al:al
neutron	neutr:neutr on:on
positron	posi:posi tron:tron
worshipping	wor:wor ship:ship ping:ping
pions	pi:pi on:on s:s
quark	quark:quark
cyclotron	cyclo:cyclo tron:tron
papermaking	paper:paper mak:mak ing:ing
pyrotechnic	pyro:pyro techn:techn ic:ic
neutrino	neutr:neutr ino:ino
electron	electr:electr on:on
pikeman	pike:pike man:man
gluon	glu:glu on:on
piezoelectric	piezo:piezo electr:electr ic:ic
hydrodynamics	hydro:hydro dynam:dynam ics:ics
muon	mu:mu on:on
swordman	sword:sword man:man
exoplanet	exo:exo planet:planet
orbital	orbit:orbit al:al
nuclear	nucle:nucle ar:ar
slavery	slav:slav ery:ery
papyrus	papyrus:papyrus
cataphract	cata:cata phract:phract
chartaceous	charta:charta ceous:ceous
overwhelming	over:over whelm:whelm ing:ing
bowman	bow:bow man:man
antiproton	anti:anti prot:prot on:on
hadron	hadr:hadr on:on
proton	prot:prot on:on
charta	charta:charta
homepage	home:home page:page
nuthouse	nut:nut house:house
crucially	cruc:cruc ial:ial ly:ly
infallible	in:in fallible:fallible
typed	typ:typ ed:ed
watchdog	watch:watch dog:dog
vodka	vodka:vodka
unctuousness'	unctu:unctu ous:ous ness:ness ':'
autobiographically	auto:auto bio:bio graph:graph ic:ic ally:ally
alum	alum:alum
truncate	truncate:truncate
mouthwashes	mouth:mouth wash:wash es:es
cubic	cub:cub ic:ic
corns	corn:corn s:s
sees	see:see s:s
goods	good:good s:s
bookcase	book:book case:case
hag	hag:hag
marrows	marrow:marrow s:s
spectres	spectre:spectre s:s
apathetically	a:a path:path etic:etic ally:ally
cargo	cargo:cargo
dozed	doze:doze d:d
villain	villain:villain
impressed	im:im press:press ed:ed
silk	silk:silk
twirls	twirl:twirl s:s
accelerate	accelerate:accelerate
cause	cause:cause
wall	wall:wall
likeable	like:like able:able
desires	desire:desire s:s
succeeding	succeed:succeed ing:ing
recounts	re:re count:count s:s
poor	poor:poor
emphasis	emphasis:emphasis
hourly	hour:hour ly:ly
quickens	quick:quick en:en s:s
zoom	zoom:zoom
include	include:include
postscript	post:post script:script
sadly	sad:sad ly:ly
achieved	achiev:achiev ed:ed
calendar	calendar:calendar
bold	bold:bold
highest	high:high est:est
jaws	jaw:jaw s:s
importing	import:import ing:ing
request	request:request
invested	invest:invest ed:ed
undertakings	under:under tak:tak ing:ing s:s
nose	nose:nose
performance	perform:perform ance:ance
violent	violent:violent
these	these:these
priests	priest:priest s:s
several	several:several
tenderness	tend:tend er:er ness:ness
hardness	hard:hard ness:ness
impossibilities	im:im possib:possib ilit:ilit ies:ies
avoided	avoid:avoid ed:ed
price	price:price
regrouping	re:re group:group ing:ing
ladylike	lady:lady like:like
behead	be:be head:head
elements	element:element s:s
gentleman	gentle:gentle man:man
impossible	im:im possible:possible
inputs	in:in put:put s:s
components	component:component s:s
suddenly	sudden:sudden ly:ly
trial	tri:tri al:al
stupidity	stupid:stupid ity:ity
goodbye	good:good bye:bye
prepay	pre:pre pay:pay
retroactive	re:re tro:tro active:active
another	an:an other:other
classroom	class:class room:room
purposeful	purpose:purpose ful:ful
deforms	de:de form:form s:s
blindness	blind:blind ness:ness
redness	red:red ness:ness
certainly	certain:certain ly:ly
depose	de:de pose:pose
smarten	smart:smart en:en
unpresentable	un:un present:present able:able
befriended	be:be friend:friend ed:ed
repackage	re:re pack:pack age:age
taller	tall:tall er:er
calmly	calm:calm ly:ly
within	with:with in:in
ablatives	ablative:ablative_A s:+PL
abounded	abound:abound_V ed:+PAST
abrogate	abrogate:abrogate_V
abusing	ab:ab_p us:use_V ing:+PCP1
accents'	accent:accent_N s:+PL ':+GEN
accorded	accord:accord_V ed:+PAST
actions	act:act_V ion:ion_s s:+PL
actress'	act:act_V r:or_s ess:ess_s ':+GEN
adder's	adder:adder_N 's:+GEN
adultery	adult:adulterer_N ery:ery_s
adversaries	advers:adverse_A ari:ary_s es:+PL
aegis's	aegis:aegis_N 's:+GEN
aesthete	aesthete:aesthete_N
aggrandizement	ag:ag_p grand:grand_A ize:ize_s ment:ment_s
agreeing	agree:agree_V ing:+PCP1
agronomy	agronomy:agronomy_N
ahead	a:a_p head:head_N, a:a_p head:head_N
aides-memoire	aides-memoire:aide-memoire_N ~:+PL
aims	aim:aim_V s:+PL, aim:aim_V s:+3SG
airline	air:air_N line:line_N
alarm's	alarm:alarm_N 's:+GEN
alchemists	alchem:alchemy_N ist:ist_s s:+PL
alongside	a:a_p long:long_A side:side_N, a:a_p long:long_A side:side_N
amalgams	amalgam:amalgam_N s:+PL
ame	ame:AmE
ameliorate	ameliorate:ameliorate_V
amhara	amhara:Amhara_N
amnesia's	amnesia:amnesia_N 's:+GEN
ampere	ampere:ampere_N
analyst	anal:analysis_N ~:yse_s yst:yst_s
anarchists	anarch:anarchy_N ~:ism_s ist:ist_s s:+PL
anatomy	anatomy:anatomy_N
andante's	andante:andante_A 's:+GEN
angelica's	angelica:angelica_N 's:+GEN
animation's	animat:animate_A ion:ion_s 's:+GEN
annotations	an:an_p not:note_N at:ate_s ion:ion_s s:+PL
anorexia	anorexia:anorexia_N
antenna	antenna:antenna_N
anthropological	anthrop:anthropo_p olog:ology_s ical:ical_s
apart	a:a_p part:part_N, a:a_p part:part_N
appending	append:append_V ing:+PCP1
arbitrariness'	arbitr:arbiter_N ari:ary_s ness:ness_s ':+GEN
arbitration's	arbitrat:arbitrate_V ion:ion_s 's:+GEN
archways	arch:arch_N way:way_N s:+PL
armour-clad	arm:arm_V our:our_s -:~ clad:clad_A
asses'	ass:ass_N es:+PL ':+GEN
assets	asset:asset_N s:+PL
atomize	atom:atom_N ize:ize_s
attendants	attend:attend_V ant:ant_s s:+PL
attenuating	attenuat:attenuate_V ing:+PCP1
attitude's	attitude:attitude_N 's:+GEN
attorney	attorn:attorn_V ey:ey_s
augmented	augment:augment_V ed:+PAST
authors	author:author_N s:+PL
babel's	babel:babel_N 's:+GEN
babus	babu:babu_N s:+PL
baccalaureate	baccalaureate:baccalaureate_N
backbencher	back:back_A bench:bench_N er:er_s
bagpipes	bag:bag_N pipe:pipe_N s:+PL, bag:bag_N pipes:pipes_N
bailed	bail:bail_N ed:+PAST
bandage	band:band_N age:age_s, band:band_N age:age_s
banquets	banquet:banquet_N s:+PL, banquet:banquet_N s:+3SG
banshees	banshee:banshee_N s:+PL
bashfully	bashful:bashful_A ly:ly_s
batsman's	bat:bat_N s:s_s man:man_N 's:+GEN
batsmen	bat:bat_N s:s_s men:man_N ~:+PL
battery	battery:battery_N
bays	bay:bay_V s:+PL, bay:bay_V s:+3SG
bearer	bear:bear_V er:er_s
bearings'	bearing:bearing_V s:+PL ':+GEN, bearings:bearings_N ':+GEN
bearskins	bear:bear_N skin:skin_N s:+PL
beating's	beating:beating_V 's:+GEN
beauticians'	beaut:beauty_N ician:ician_s s:+PL ':+GEN
begets	be:be_p get:get_V s:+3SG
beginner's	beginn:begin_V er:er_s 's:+GEN
behaves	behave:behave_V s:+3SG
beheld	beheld:behold_V ~:+PAST
benefactor's	benefactor:benefactor_N 's:+GEN
biceps	biceps:biceps_N
bilinguals	bi:bi_p lingual:lingual_A s:+PL
bit	bit:bite_V ~:+PAST, bit:bit_N
bite	bite:bite_V, bite:bite_V
blabber	blabb:blab_V er:er_s
blimpish	blimp:Colonel_Blimp_N ish:ish_s
blinkers	blink:blink_V er:er_s s:s_s
blinks	blink:blink_V s:+PL, blink:blink_V s:+3SG
boarder's	board:board_N er:er_s 's:+GEN
bock	bock:bock_N
bolshevism's	bolshev:Bolshevik_N ism:ism_s 's:+GEN
bondholder's	bond:bond_N hold:hold_V er:er_s 's:+GEN
bonniest	bonni:bonny_A est:+SUP
boogie	boogie:boogie_N
bouncers'	bounc:bounce_V er:er_s s:+PL ':+GEN
bourse's	bourse:bourse_N 's:+GEN
bowels'	bowel:bowel_N s:+PL ':+GEN, bowels:bowels_N ':+GEN
bowler	bowl:bowl_N er:er_s, bowler:bowler_N
bows'	bow:bow_N s:+PL ':+GEN, bow:bow_V s:+PL ':+GEN
braggadocio	braggadocio:braggadocio_N
bravura	bravura:bravura_N
breadwinner	bread:bread_N winn:win_V er:er_s
breakfasted	break:break_V fast:fast_V ed:+PAST
breathy	breath:breath_N y:y_s
breech	breech:breech_N
bringing	bring:bring_V ing:+PCP1
briskness	brisk:brisk_A ness:ness_s
broadminded	broad:broad_A mind:mind_N ed:ed_s
buffalo's	buffalo:buffalo_N 's:+GEN
buffeted	buffet:buffet_V ed:+PAST
buffets	buffet:buffet_V s:+PL, buffet:buffet_V s:+3SG
buildings'	building:building_V s:+PL ':+GEN
bulky	bulk:bulk_N y:y_s
bulldozers'	bull:bull_N doz:doze_V er:er_s s:+PL ':+GEN
bullshit	bull:bull_N shit:shit_V, bull:bull_N shit:shit_V, bullshit:bullshit
bump's	bump:bump_V 's:+GEN
bungles	bungle:bungle_V s:+PL, bungle:bungle_V s:+3SG
bunkhouses	bunk:bunk_N house:house_N s:+PL
business'	busi:busy_A ness:ness_s ':+GEN
cabal's	cabal:cabal_N 's:+GEN
cable's	cable:cable_N 's:+GEN
caddie	caddie:caddie_N, caddie:caddie_V
carcinogens	carcino:carcinoma_N gen:gen_s s:+PL
carded	card:card_N ed:+PAST
cardinal's	cardinal:cardinal_A 's:+GEN
cardinals'	cardinal:cardinal_A s:+PL ':+GEN
caricaturists	caricatur:caricature_N ist:ist_s s:+PL
carpetbagger	carpetbagger:carpetbagger_N
carriage	carri:carry_V age:age_s
carriages	carri:carry_V age:age_s s:+PL
carton	carton:carton_N
castrates	castrate:castrate_V s:+3SG
casually	casual:casual_A ly:ly_s
cat-o'-nine-tails	cat-o'-nine-tails:cat-o'-nine-tails_N
catastrophe	catastrophe:catastrophe_N
catechisms	catechism:catechism_N s:+PL
cathode	cathode:cathode_N
ceaseless	cease:cease_V less:less_s
celery	celery:celery_N
centuries	centuri:century_N es:+PL
cereal's	cereal:cereal_N 's:+GEN
cerebrum	cerebrum:cerebrum_N
chain-gang	chain:chain_N -:~ gang:gang_N
chairwoman's	chair:chair_N woman:woman_N 's:+GEN
chancellor	chancellor:chancellor_N
chaperoning	chaperon:chaperon_N ing:+PCP1
charging	charg:charge_V ing:+PCP1
chase's	chase:chase_V 's:+GEN
chauvinism	chauvinism:chauvinism_N
cheerful	cheer:cheer_V ful:ful_s
cheerfully	cheer:cheer_V ful:ful_s ly:ly_s
chestnuts	chestnut:chestnut_N s:+PL
chigger	chigger:chigger_N
chivied	chivi:chivy_V ed:+PAST
citron's	citron:citron_N 's:+GEN
claws	claw:claw_N s:+PL, claw:claw_N s:+3SG
clay's	clay:clay_N 's:+GEN
clean-cut	clean:clean_A -:~ cut:cut_V
clews	clew:clew_N s:+PL, clew:clew_N s:+3SG
climaxes	climax:climax_N es:+PL, climax:climax_N es:+3SG
co-ops	co:co_p -:~ op:operate_V ~:ion_s ~:ive_s s:+PL
codas	coda:coda_N s:+PL
codeine	codeine:codeine_N
cognate	cognate:cognate_A, cognate:cognate_A
coincidences	coincid:coincide_V ~:ent_s ence:ence_s s:+PL
collapse	col:col_p lapse:lapse_N, col:col_p lapse:lapse_N
commingle	com:com_p mingle:mingle_V
community	commun:commune_N ~:al_s ity:ity_s
compensatory	compensat:compensate_V ~:ion_s ory:ory_s
completed	complet:complete_A ed:+PAST
complimented	compliment:compliment_V ed:+PAST
composing	compos:compose_V ing:+PCP1
compromises	compromise:compromise_V s:+PL, compromise:compromise_V s:+3SG
computations	comput:compute_V ation:ation_s s:+PL
conceits	conceit:conceit_N s:+PL
concession	concess:concede_V ion:ion_s
conciliating	conciliat:conciliate_V ing:+PCP1
concordant	concord:concord_N ant:ant_s
conferred	conferr:confer_V ed:+PAST
confinement	confine:confine_V ment:ment_s
confiscation	confiscat:confiscate_V ion:ion_s
conflated	conflat:conflate_V ed:+PAST
conformance	con:con_p form:form_N ance:ance_s
confusion	confus:confuse_V ion:ion_s
congress's	congress:Congress_N 's:+GEN, congress:congress_N 's:+GEN
conservationist's	conserv:conserve_V ation:ation_s ist:ist_s 's:+GEN
contempt	contempt:contempt_N
contingency	conting:contingent_A ency:ency_s
controls	control:control_V s:+PL, control:control_V s:+3SG
conversed	convers:converse_V ed:+PAST
convertibles	convert:convert_V ible:ible_s s:+PL
convicts	convict:convict_V s:+PL, convict:convict_V s:+3SG
coolie	coolie:coolie_N
corinthian	corinth:Corinth_N ian:ian_s, corinth:Corinth_N ian:ian_s
cornered	corner:corner_N ed:+PAST, cornered:cornered_V
cornstarch	corn:corn_N starch:starch_N
corralled	corrall:corral_N ed:+PAST
corroborated	corroborat:corroborate_V ed:+PAST
corsages	corsage:corsage_N s:+PL
corvette	corvette:corvette_N
cote's	cote:cote_N 's:+GEN
counterfeiting	counterfeit:counterfeit_A ing:+PCP1
coveting	covet:covet_V ing:+PCP1
cramped	cramp:cramp_N ed:+PAST, cramped:cramped_V
crayoning	crayon:crayon_N ing:+PCP1
creativeness	creat:create_V ~:ion_s ive:ive_s ness:ness_s
crematoria	cremat:cremate_V oria:orium_s ~:+PL
criers	cri:cry_V er:er_s s:+PL
criminal	crimin:crime_N al:al_s, crimin:crime_N al:al_s
criminally	crimin:crime_N al:al_s ly:ly_s
crocodile's	crocodile:crocodile_N 's:+GEN
crookedness	crooked:crooked_V ness:ness_s
cross-indexing	cross:cross_p -:~ index:index_N ing:+PCP1
crossings'	crossing:crossing_V s:+PL ':+GEN
crow	crow:crow_N, crow:crow_V, crow:crow_V
cul-de-sac's	cul-de-sac:cul-de-sac_N 's:+GEN
culprit	culprit:culprit_N
cults	cult:cult_N s:+PL
curator	curator:curator_N
cursing	curs:curse_V ing:+PCP1
cuticle	cuticle:cuticle_N
cyclops'	cyclops:Cyclops_N ':+GEN
daddy's	dadd:dad_N y:y_s 's:+GEN
daguerreotypes	daguerreotype:daguerreotype_N s:+PL
daiquiris	daiquiri:daiquiri_N s:+PL
dandies	dandi:dandy_N es:+PL
dandled	dandl:dandle_V ed:+PAST
danny	danny:Danny_N
date	date:date_N, date:date_N
debased	debas:debase_V ed:+PAST
debriefed	de:de_p brief:brief_A ed:+PAST
december's	december:December_N 's:+GEN
decency	dec:decent_A ency:ency_s
deciphering	de:de_p cipher:cipher_N ing:+PCP1
declaiming	de:de_p claim:claim_V ing:+PCP1
declamations	de:de_p clam:claim_V ation:ation_s s:+PL
declaring	declar:declare_V ing:+PCP1
dedicating	dedicat:dedicate_V ing:+PCP1
defames	de:de_p fame:fame_N s:+3SG
defeats	defeat:defeat_V s:+PL, defeat:defeat_V s:+3SG
defendants	defend:defend_V ant:ant_s s:+PL
dehumanize	de:de_p human:human_A ize:ize_s
deluded	delud:delude_V ed:+PAST
demoralize	de:de_p moral:moral_A ize:ize_s
denationalized	de:de_p nation:nation_N al:al_s iz:ize_s ed:+PAST
deplorable	deplor:deplore_V able:able_s
deputizes	deput:depute_V ~:y_s ize:ize_s s:+3SG
derv	derv:derv_N
describable	describ:describe_V able:able_s
designer's	design:design_V er:er_s 's:+GEN
detraction	detract:detract_from_V ion:ion_s
detraining	de:de_p train:train_N ing:+PCP1
devaluation	de:de_p valu:value_N at:ate_s ion:ion_s, de:de_p valu:value_N ation:ation_s
